date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:47:46	41394/41394	---M-Z	200	added ('OK')	text/html	etag:%22a1b2-6401b6ac-3c826f9c9f6ec612;gz%22	https://bridgetrade.co.uk/investments-management.html	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/investments-management.html	(from https://bridgetrade.co.uk/home.html)
00:47:46	39521/39521	---M-Z	200	added ('OK')	text/html	etag:%229a61-6401b6ac-3d94f701bc195d48;gz%22	https://bridgetrade.co.uk/private-banking.html	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/private-banking.html	(from https://bridgetrade.co.uk/home.html)
00:47:47	40586/40586	---M-Z	200	added ('OK')	text/html	etag:%229e8a-6401b6ad-fe4258ec5134048b;gz%22	https://bridgetrade.co.uk/whole-life-insurance.html	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/whole-life-insurance.html	(from https://bridgetrade.co.uk/home.html)
00:47:49	41956/41956	---M-Z	200	added ('OK')	text/html	etag:%22a3e4-6401b6ad-78745fe21b0c7f37;gz%22	https://bridgetrade.co.uk/universal-life-insurance.html	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/universal-life-insurance.html	(from https://bridgetrade.co.uk/home.html)
00:47:52	40676/40676	---M-Z	200	added ('OK')	text/html	etag:%229ee4-6401b6ad-a5ff2a6778e5f95a;gz%22	https://bridgetrade.co.uk/term-life-insurance.html	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/term-life-insurance.html	(from https://bridgetrade.co.uk/home.html)
00:48:10	40062/40062	---M-Z	200	added ('OK')	text/html	etag:%229c7e-6401b6ac-b52c795dea7f7d5;gz%22	https://bridgetrade.co.uk/disability-doctors-dentists.html	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/disability-doctors-dentists.html	(from https://bridgetrade.co.uk/home.html)
00:48:58	2457/2457	---M-Z	200	added ('OK')	text/html	etag:%22999-6401b6ac-f092ae44e4e4e5f2;gz%22	https://bridgetrade.co.uk/assets/legal/prospectus.html	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/assets/legal/prospectus.html	(from https://bridgetrade.co.uk/home.html)
00:49:27	86794/86794	---M--	200	added ('OK')	application/pdf	etag:%221530a-6401b6ac-abc9c62dc07b4442;;;%22	https://bridgetrade.co.uk/PWS_INSIDER_TRADING_POLICY.pdf	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/PWS_INSIDER_TRADING_POLICY.pdf	(from https://bridgetrade.co.uk/home.html)
00:49:29	2457/2457	---M-Z	200	added ('OK')	text/html	etag:%22999-6401b6ac-10fd65b6dafb44fb;gz%22	https://bridgetrade.co.uk/assets/legal/certificate-of-incorporation.html	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/assets/legal/certificate-of-incorporation.html	(from https://bridgetrade.co.uk/home.html)
00:49:31	39621/39621	---M-Z	200	added ('OK')	text/html	etag:%229ac5-6401b6ac-4193e1f3356de121;gz%22	https://bridgetrade.co.uk/brokerage-accounts-services.html	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/brokerage-accounts-services.html	(from https://bridgetrade.co.uk/home.html)
00:49:32	39980/39980	---M-Z	200	added ('OK')	text/html	etag:%229c2c-6401b6ac-3caadda79ced1942;gz%22	https://bridgetrade.co.uk/private-wealth-management.html	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/private-wealth-management.html	(from https://bridgetrade.co.uk/home.html)
00:49:33	39571/39571	---M-Z	200	added ('OK')	text/html	etag:%229a93-6401b6ac-2de4cae05ad39662;gz%22	https://bridgetrade.co.uk/investment-advisory-services.html	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/investment-advisory-services.html	(from https://bridgetrade.co.uk/home.html)
